,description.sold_price,description.lot_sqft,description.sqft,description.beds,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,laundry_room,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer,city_mean,city_median,age,description.type_apartment,description.type_condo,description.type_condo_townhome_rowhome_coop,description.type_condos,description.type_duplex_triplex,description.type_land,description.type_mobile,description.type_multi_family,description.type_other,description.type_single_family,description.type_townhomes
131,985000.0,15483.0,1848.0,4.0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,714903.990476191,460000.0,71,0,0,0,0,0,0,0,0,0,1,0
132,555000.0,5850.0,1272.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,714903.990476191,460000.0,41,0,0,0,0,0,0,0,0,0,1,0
133,452500.0,19115.0,1713.0,3.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,714903.990476191,460000.0,63,0,0,0,0,0,0,0,0,0,1,0
134,410000.0,2160.0,1234.0,2.0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,714903.990476191,460000.0,32,0,0,0,0,0,0,0,0,0,0,1
135,555000.0,39204.0,3800.0,4.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,714903.990476191,460000.0,124,0,0,0,0,0,0,0,0,0,1,0
136,580000.0,2312.0,2980.0,3.0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,714903.990476191,460000.0,11,0,0,0,0,0,0,0,0,0,0,1
137,370000.0,1206.0,1518.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,714903.990476191,460000.0,47,0,0,0,0,0,0,0,0,0,0,1
138,450000.0,11165.0,1100.0,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,714903.990476191,460000.0,59,0,0,0,0,0,0,0,0,0,1,0
140,700000.0,9350.0,2400.0,5.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,714903.990476191,460000.0,55,0,0,0,0,0,0,0,0,0,1,0
141,314000.0,1216.0,1086.0,1.0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,714903.990476191,460000.0,41,0,0,0,0,0,0,0,0,0,0,1
143,365000.0,1024.0,1746.0,3.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,714903.990476191,460000.0,47,0,0,0,0,0,0,0,0,0,0,1
144,565000.0,33316.0,2596.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,714903.990476191,460000.0,48,0,0,0,0,0,0,0,0,0,1,0
145,850000.0,61196.0,4415.0,4.0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,714903.990476191,460000.0,49,0,0,0,0,0,0,0,0,0,1,0
146,450000.0,8030.0,1526.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,714903.990476191,460000.0,77,0,0,0,0,0,0,0,0,0,1,0
147,1195000.0,20300.0,2433.0,4.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,714903.990476191,460000.0,57,0,0,0,0,0,0,0,0,0,1,0
151,430000.0,9000.0,1860.0,4.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,714903.990476191,460000.0,49,0,0,0,0,0,0,0,0,0,1,0
152,895000.0,15865.0,5766.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,714903.990476191,460000.0,17,0,0,0,0,0,0,0,0,0,1,0
153,600000.0,9000.0,2016.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,714903.990476191,460000.0,51,0,0,0,0,0,0,0,0,0,1,0
156,520000.0,2040.0,2092.0,3.0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,714903.990476191,460000.0,36,0,0,0,0,0,0,0,0,0,0,1
157,430000.0,10000.0,2580.0,2.0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,714903.990476191,460000.0,59,0,0,0,0,0,0,0,0,0,1,0
158,550000.0,15028.0,1590.0,4.0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,714903.990476191,460000.0,46,0,0,0,0,0,0,0,0,0,1,0
160,420000.0,6501.0,1560.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,714903.990476191,460000.0,47,0,0,0,0,0,0,0,0,0,1,0
161,999999.0,1826.0,1361.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,714903.990476191,460000.0,101,0,0,0,0,0,0,0,0,0,0,1
205,445000.0,5663.0,2147.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,445000.0,445000.0,13,0,0,0,0,0,0,0,0,0,1,0
207,1206000.0,12197.0,4408.0,5.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,565404.484536083,470000.0,21,0,0,0,0,0,0,0,0,0,1,0
209,415000.0,9344.0,1994.0,3.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,565404.484536083,470000.0,51,0,0,0,0,0,0,0,0,0,1,0
210,200000.0,677.0,655.0,1.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,565404.484536083,470000.0,42,1,0,0,0,0,0,0,0,0,0,0
212,359900.0,6810.0,1576.0,3.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,565404.484536083,470000.0,57,0,0,0,0,0,0,0,0,0,1,0
